text,tokens
mwenye sura nzuri na mwenye nguvu,"['sura', 'nzuri', 'nguvu']"
nilikuwa na huduma ya gari kwa miaka 2 au 3 sasa na ninaifurahia sana,"['nilikuwa', 'huduma', 'gari', 'miaka', '2', 'au', '3', 'ninaifurahia']"
utaratibu wa kuweka habari mpya ni mgumu na wenye kuchosha,"['utaratibu', 'kuweka', 'habari', 'mpya', 'mgumu', 'wenye', 'kuchosha']"
kukatishwa tamaa na chuki yoyote inayoingia katika sikio langu,"['kukatishwa', 'tamaa', 'chuki', 'yoyote', 'inayoingia', 'sikio', 'langu']"
programu muhimu za kuendesha motabolas,"['programu', 'muhimu', 'kuendesha', 'motabolas']"
safari hiyo ilichukua muda mrefu,"['safari', 'ilichukua', 'mrefu']"
ni rahisi sana kutumia,"['rahisi', 'kutumia']"
kutostarehe katika sikio usitumie kwa kutumia lug vx99 env,"['kutostarehe', 'sikio', 'usitumie', 'kutumia', 'lug', 'vx99', 'env']"
kiasi cha sauti kikirushwa kutoka kwenye kizio hicho hadi mahali ambapo hapajulikani,"['kiasi', 'kikirushwa', 'kizio', 'hicho', 'mahali', 'ambapo', 'hapajulikani']"
lina shtaka kwa muda mrefu ni lenye kustarehesha chini ya hali ndefu za kuvaa na ubora wa sauti ni mkubwa sana,"['lina', 'shtaka', 'mrefu', 'lenye', 'kustarehesha', 'hali', 'ndefu', 'kuvaa', 'ubora']"
zinazo kwenda kisha zikajificha,"['zinazo', 'zikajificha']"
kibodi inafaa sana na ni imara vya kutosha kutotarajia matatizo yoyote,"['kibodi', 'inafaa', 'imara', 'vya', 'kutosha', 'kutotarajia', 'matatizo', 'yoyote']"
hata hivyo ni vigumu kuelewa gharama za veriz hata ingawa mipango yao ya kwanza ni sahili,"['vigumu', 'kuelewa', 'gharama', 'veriz', 'ingawa', 'mipango', 'kwanza', 'sahili']"
baada ya kutumia betri hizo usiku kucha kunakuwa na matokeo makubwa,"['kutumia', 'betri', 'hizo', 'usiku', 'kucha', 'kunakuwa', 'matokeo', 'makubwa']"
ndio sasa tena na nyinyi mlikuwa mkiihimiza,"['ndio', 'nyinyi', 'mlikuwa', 'mkiihimiza']"
ninaipenda simu hii,"['ninaipenda', 'simu', 'hii']"
 hali ya kukata tamaa,"['hali', 'kukata', 'tamaa']"
si mtumiaji mwenye urafiki,"['si', 'mtumiaji', 'urafiki']"
kwa kusikitisha uwezo wa kujua hasa unapokea simu ni jambo la maana sana na simu hii ni yenye kusikitisha kwa habari hiyo,"['kusikitisha', 'uwezo', 'kujua', 'hasa', 'unapokea', 'simu', 'jambo', 'maana', 'simu', 'hii', 'yenye', 'kusikitisha', 'habari']"
kisha nikabadilishana simu ileile hata ile iliyokuwa na tatizo hilohilo,"['nikabadilishana', 'simu', 'ileile', 'ile', 'iliyokuwa', 'tatizo', 'hilohilo']"
hii hutokeza simu ikiwa imekwama kwenye sohani au bubu,"['hii', 'hutokeza', 'simu', 'ikiwa', 'imekwama', 'sohani', 'au', 'bubu']"
miamba hii ya pida,"['miamba', 'hii', 'pida']"
ni kubwa mno kuweza kutumiwa kama kifaa kidogo chenye umbo la mvyauso na chenye ubora wa hali ya juu katika sehemu hizo,"['mno', 'kuweza', 'kutumiwa', 'kifaa', 'kidogo', 'chenye', 'umbo', 'mvyauso', 'chenye', 'ubora', 'hali', 'sehemu', 'hizo']"
bila shaka ningependekeza jabra bt250v kwa ajili ya wale wanaotafuta faraja na bei kubwa,"['shaka', 'ningependekeza', 'jabra', 'bt250v', 'ajili', 'wale', 'wanaotafuta', 'faraja', 'bei']"
nilikuwa na verizon miaka 2 iliyopita na nilifurahia sana utumishi wao,"['nilikuwa', 'verizon', 'miaka', '2', 'iliyopita', 'nilifurahia', 'utumishi']"
sehemu maridadi ya takataka,"['sehemu', 'maridadi', 'takataka']"
uzi wa kuunganisha vitu ulikuwa na ukubwa usiofaa,"['uzi', 'kuunganisha', 'vitu', 'ulikuwa', 'ukubwa', 'usiofaa']"
hufanya kazi kama inavyoelezwa,"['hufanya', 'kazi', 'inavyoelezwa']"
isipo kuwa fedha zenu na mali zenu kwa miezi 11 sasa,"['isipo', 'fedha', 'zenu', 'mali', 'zenu', 'miezi', '11']"
nunua vitu vibaya,"['nunua', 'vitu', 'vibaya']"
likiwa limeridhika,"['likiwa', 'limeridhika']"
kelele ya bose kufuta ni ya kustaajabisha sana kwa mpita  njia,"['kelele', 'bose', 'kufuta', 'kustaajabisha', 'mpita', 'njia']"
hakika betri hii ina faida kubwa,"['hakika', 'betri', 'hii', 'ina', 'faida']"
sipsi yenye kasoro,"['sipsi', 'yenye', 'kasoro']"
laiti nisingeli mfanya fulani kuwa nyota,"['laiti', 'nisingeli', 'mfanya', 'fulani', 'nyota']"
imevaa miwani na inafaa pamoja nayo,"['imevaa', 'miwani', 'inafaa', 'nayo']"
ubora wa kifaa hicho haukubaliki ikiwa uko katika eneo tulivu sana ukaribialo kusikia chochote,"['ubora', 'kifaa', 'hicho', 'haukubaliki', 'ikiwa', 'uko', 'eneo', 'tulivu', 'ukaribialo', 'kusikia', 'chochote']"
singependekeza kitu hiki kwa mtu yeyote,"['singependekeza', 'kitu', 'hiki', 'mtu', 'yeyote']"
holi iliyowasili haikulingana na ile picha katika tangazo,"['holi', 'iliyowasili', 'haikulingana', 'ile', 'picha', 'tangazo']"
matatizo makubwa sana,"['matatizo', 'makubwa']"
kama vile pitiaji la awali lililoonekana katika chombo hiki na hakuna chochote kinachotendeka,"['pitiaji', 'awali', 'lililoonekana', 'chombo', 'hiki', 'hakuna', 'chochote', 'kinachotendeka']"
picha hii ya simu ya chura inavutia sana na inavutia sana,"['picha', 'hii', 'simu', 'chura', 'inavutia', 'inavutia']"
hujui kamwe ikiwa uliisukuma kwa nguvu vya kutosha au kwa wakati ufaao kwa ajili ya kazi unayotaka au usiyotaka,"['hujui', 'kamwe', 'ikiwa', 'uliisukuma', 'nguvu', 'vya', 'kutosha', 'au', 'ufaao', 'ajili', 'kazi', 'unayotaka', 'au', 'usiyotaka']"
sauti iko wazi na watu wanaizungumzia wanashangazwa na sifa hiyo pia,"['iko', 'wazi', 'wanaizungumzia', 'wanashangazwa', 'sifa']"
nilinunua kisanduku cha alumini kwa ajili ya shoka langu jipya la mnazi na kilikuwa kimefanya kazi vizuri kweli kweli kweli kimelinda mkono wangu hadi sasa,"['nilinunua', 'kisanduku', 'alumini', 'ajili', 'shoka', 'langu', 'jipya', 'mnazi', 'kilikuwa', 'kimefanya', 'kazi', 'vizuri', 'kweli', 'kweli', 'kweli', 'kimelinda', 'mkono', 'wangu']"
bidhaa nzuri sana iliyotengenezwa vizuri,"['bidhaa', 'nzuri', 'iliyotengenezwa', 'vizuri']"
ni lazima vifaa vya simu za mkononi viwepo,"['lazima', 'vifaa', 'vya', 'simu', 'mkononi', 'viwepo']"
nimevutiwa sana na kazi iliyofanywa na burola kwa nguvu za simu hii,"['nimevutiwa', 'kazi', 'iliyofanywa', 'burola', 'nguvu', 'simu', 'hii']"
nilipokea amri zangu vizuri ndani ya wakati wa usafirishaji wa kila kitu kilikuwa na utaratibu mzuri wa kazi na kwa ujumla mimi husisimuka sana kuwa na chanzo hiki,"['nilipokea', 'amri', 'zangu', 'vizuri', 'usafirishaji', 'kitu', 'kilikuwa', 'utaratibu', 'mzuri', 'kazi', 'ujumla', 'husisimuka', 'chanzo', 'hiki']"
simu ni imara na haiwezi kupenya maji,"['simu', 'imara', 'haiwezi', 'kupenya', 'maji']"
sipendezwi na jambo hili na nisingependekeza kitu hiki kwa mtu yeyote,"['sipendezwi', 'jambo', 'hili', 'nisingependekeza', 'kitu', 'hiki', 'mtu', 'yeyote']"
lalamiko langu pekee ni lile kiasi cha sauti cha kiwango cha chini hata kinapotolewa hadi 5 5,"['lalamiko', 'langu', 'pekee', 'lile', 'kiasi', 'kiwango', 'kinapotolewa', '5', '5']"
shukrani kwa amazon kwa kuwa na vitu ambavyo ni vya lazima kwa ajili ya bei nzuri,"['shukrani', 'amazon', 'vitu', 'ambavyo', 'vya', 'lazima', 'ajili', 'bei', 'nzuri']"
kisha ninaisukuma kwenye ukingo wa suruali au mifuko yangu ya nyuma,"['ninaisukuma', 'ukingo', 'suruali', 'au', 'mifuko', 'nyuma']"
ilinibidi kwenda dukani na kununua simu mpya ya nokia ambayo inafanya kazi vizuri,"['ilinibidi', 'dukani', 'kununua', 'simu', 'mpya', 'nokia', 'ambayo', 'inafanya', 'kazi', 'vizuri']"
ni kazi kubwa,['kazi']
sura mbaya kwelikweli,"['sura', 'mbaya', 'kwelikweli']"
ilinibidi kubadilisha mara 3,"['ilinibidi', 'kubadilisha', '3']"
ngao ya kelele haiwezi kubadilishwa,"['ngao', 'kelele', 'haiwezi', 'kubadilishwa']"
hakuna maendeleo halisi,"['hakuna', 'maendeleo', 'halisi']"
rundo zuri la betri,"['rundo', 'zuri', 'betri']"
endeleza kazi nzuri ya amazon,"['endeleza', 'kazi', 'nzuri', 'amazon']"
nao huku wanazuia msaada,"['nao', 'wanazuia', 'msaada']"
kwa kusikitisha ni rahisi kwao kuwagusa bila kukusudia kwa vifungo vya kugusa  gusa kwa wororo ukigusa simu usoni mwako bila kukusudia unaposikiliza,"['kusikitisha', 'rahisi', 'kwao', 'kuwagusa', 'kukusudia', 'vifungo', 'vya', 'kugusa', 'gusa', 'wororo', 'ukigusa', 'simu', 'usoni', 'mwako', 'kukusudia', 'unaposikiliza']"
kwa hiyo kwa msingi nilitupa pesa zangu nje ya dirisha bila kitu,"['msingi', 'nilitupa', 'pesa', 'zangu', 'nje', 'dirisha', 'kitu']"
kesi kubwa na bei,"['kesi', 'bei']"
kilichochukua tu kilikuwa tone moja kutoka sentimeta 6 hivi juu ya meza ya jikoni na kilipasuka  vunjika hakivutii na sicheki,"['kilichochukua', 'kilikuwa', 'tone', 'sentimeta', '6', 'hivi', 'meza', 'jikoni', 'kilipasuka', 'vunjika', 'hakivutii', 'sicheki']"
tarehe ya buluu ni nzuri siku chache zilizopita niliiacha simu yangu ndani ya buti nikapiga simu na kuendeleza mazungumzo bila kamba,"['tarehe', 'buluu', 'nzuri', 'siku', 'chache', 'zilizopita', 'niliiacha', 'simu', 'buti', 'nikapiga', 'simu', 'kuendeleza', 'mazungumzo', 'kamba']"
safu ndogo maridadi yenye kupendeza iliyo na nafasi ya kutosha ya kuhifadhi vitu,"['safu', 'ndogo', 'maridadi', 'yenye', 'kupendeza', 'iliyo', 'nafasi', 'kutosha', 'kuhifadhi', 'vitu']"
sikio huingiza sauti moja kwa moja ndani ya sikio lako na huonekana kuongeza sauti na uwazi,"['sikio', 'huingiza', 'sikio', 'lako', 'huonekana', 'kuongeza', 'uwazi']"
hakuna hata moja ya mambo mapya ambayo yamepata kufanya kazi vizuri,"['hakuna', 'mambo', 'mapya', 'ambayo', 'yamepata', 'kufanya', 'kazi', 'vizuri']"
nafurahi kwamba iinunue,"['nafurahi', 'iinunue']"
ziara nyingi ambazo hazijatimizwa kwa sababu hiyo,"['ziara', 'nyingi', 'ambazo', 'hazijatimizwa', 'sababu']"
labda simu yangu ina kasoro lakini watu hawawezi kunisikia ninapoitumia,"['labda', 'simu', 'ina', 'kasoro', 'hawawezi', 'kunisikia', 'ninapoitumia']"
usinunue bidhaa hii,"['usinunue', 'bidhaa', 'hii']"
kunyonya sehemu kubwa ya bidhaa hiyo hakufanyi kazi kwa simu yangu,"['kunyonya', 'sehemu', 'bidhaa', 'hakufanyi', 'kazi', 'simu']"
kutobadilika  badilika kwa hata kuropoka hakungeweza kuwa na furaha zaidi kwa mtoto wangu mpya kwa sababu ya droid,"['kutobadilika', 'badilika', 'kuropoka', 'hakungeweza', 'furaha', 'mtoto', 'wangu', 'mpya', 'sababu', 'droid']"
programu zilizo mbaya zaidi zilizowahi kutumiwa ikiwa ningezipa nyota hizi sufuri,"['programu', 'zilizo', 'mbaya', 'zilizowahi', 'kutumiwa', 'ikiwa', 'ningezipa', 'nyota', 'hizi', 'sufuri']"
kujaribu kuwatembelea watu hao ni mazoezi ya kufadhaika,"['kujaribu', 'kuwatembelea', 'hao', 'mazoezi', 'kufadhaika']"
hicho kisa ni kipande dhaifu cha plastiki na hakina ulinzi wowote wa mbele au wa kando,"['hicho', 'kisa', 'kipande', 'dhaifu', 'plastiki', 'hakina', 'ulinzi', 'wowote', 'mbele', 'au', 'kando']"
nilikuwa na kifaa cha kuchezea cha jambara na nilifurahia sana lakini ubora wa sauti ambao hasa ulikuwa ukitokeza sauti hiyo ni bora zaidi,"['nilikuwa', 'kifaa', 'kuchezea', 'jambara', 'nilifurahia', 'ubora', 'ambao', 'hasa', 'ulikuwa', 'ukitokeza', 'bora']"
naipenda kamera sifa yake nzuri sana,"['naipenda', 'kamera', 'sifa', 'nzuri']"
asanteni kwa utumishi huo mkubwa,"['asanteni', 'utumishi']"
kabati lake lote,"['kabati', 'lake', 'lote']"
muuzaji ni mwenye uelewevu sana na mwenye subira ni lazima ninunue kutoka kwao tena,"['muuzaji', 'uelewevu', 'subira', 'lazima', 'ninunue', 'kwao']"
ninampa waya 1 nyota atawasiliana na kingularatt na kuwajulisha zoea hilo,"['ninampa', 'waya', '1', 'nyota', 'atawasiliana', 'kingularatt', 'kuwajulisha', 'zoea', 'hilo']"
unao babua ngozi ya kichwa,"['unao', 'babua', 'ngozi', 'kichwa']"
bidhaa kubwa kwa bei,"['bidhaa', 'bei']"
nimenunua vitu hivyo kwa ajili ya familia na marafiki na wote wanafurahia jinsi wanavyovitumia kwa njia rahisi na yenye kueleweka,"['nimenunua', 'vitu', 'ajili', 'familia', 'marafiki', 'wanafurahia', 'jinsi', 'wanavyovitumia', 'njia', 'rahisi', 'yenye', 'kueleweka']"
miamba hii midogo isiyo na waya na pia simu hii ya bei rahisi,"['miamba', 'hii', 'midogo', 'isiyo', 'waya', 'simu', 'hii', 'bei', 'rahisi']"
hakuna kitabu chochote kinachofanya kazi ambacho hakinunui,"['hakuna', 'kitabu', 'chochote', 'kinachofanya', 'kazi', 'ambacho', 'hakinunui']"
sauti ya chini yenye matope na kibweta kilichozungushwa na waya kilikuwa na nguvu nyingi sana na kiliteleza,"['yenye', 'matope', 'kibweta', 'kilichozungushwa', 'waya', 'kilikuwa', 'nguvu', 'nyingi', 'kiliteleza']"
tafadhali usipoteze pesa zako,"['usipoteze', 'pesa', 'zako']"
wote wakitosheka na ununuzi huu,"['wakitosheka', 'ununuzi', 'huu']"
ikiwa unatafuta kifaa bora cha kuchorea cha burola endelea kukitazama,"['ikiwa', 'unatafuta', 'kifaa', 'bora', 'kuchorea', 'burola', 'endelea', 'kukitazama']"
hata hivyo wataalamu wa mimea wanaendelea kutumia mbinu hiyohiyo yenye kasoro,"['wataalamu', 'mimea', 'wanaendelea', 'kutumia', 'mbinu', 'hiyohiyo', 'yenye', 'kasoro']"
matokeo yenye kutofautiana,"['matokeo', 'yenye', 'kutofautiana']"
muundo mgumu,"['muundo', 'mgumu']"
jambo kuu lilikuwa kazi nzuri zisizo na matatizo yoyote na wakati ulikuwa mchache kuliko ulivyotazamia,"['jambo', 'kuu', 'lilikuwa', 'kazi', 'nzuri', 'zisizo', 'matatizo', 'yoyote', 'ulikuwa', 'mchache', 'kuliko', 'ulivyotazamia']"
bidhaa kubwa,['bidhaa']
kipande chake cha kokoto,"['kipande', 'chake', 'kokoto']"
jambo lililonipata lilikuwa kichwa changu cha nne cha rangi ya buluu na wakati kilikuwa chenye kustarehesha zaidi kuliko jastra yangu ya mwisho ambayo nilichukia,"['jambo', 'lililonipata', 'lilikuwa', 'kichwa', 'changu', 'nne', 'rangi', 'buluu', 'kilikuwa', 'chenye', 'kustarehesha', 'kuliko', 'jastra', 'mwisho', 'ambayo', 'nilichukia']"
hilo latatua matatizo yote,"['hilo', 'latatua', 'matatizo', 'yote']"
mbaya zaidi,['mbaya']
nina furaha sana,"['nina', 'furaha']"
ilikuwa vigumu kupata mtandao wa intaneti ukipakua alama za mviringo au kufanya kazi yoyote ile,"['vigumu', 'kupata', 'mtandao', 'intaneti', 'ukipakua', 'alama', 'mviringo', 'au', 'kufanya', 'kazi', 'yoyote', 'ile']"
ni vigumu sana kusikia na sikuzote ninasema nini,"['vigumu', 'kusikia', 'sikuzote', 'ninasema']"
betri haikubaliki kabisa,"['betri', 'haikubaliki', 'kabisa']"
hakika haya ni mambo ya ajabu,"['hakika', 'haya', 'mambo', 'ajabu']"
hufanya kila kitu kilichosemwa kingefanya,"['hufanya', 'kitu', 'kilichosemwa', 'kingefanya']"
kwa sababu ya tukio hili katika kila ziara i ililazimishwa kuacha kutumia kichwa hiki,"['sababu', 'tukio', 'hili', 'ziara', 'i', 'ililazimishwa', 'kuacha', 'kutumia', 'kichwa', 'hiki']"
hufanya kazi vizuri kwa mtoza  gari hasa ikiwa huwezi kuunganisha viunganishi viwili kwa wakati uleule,"['hufanya', 'kazi', 'vizuri', 'mtoza', 'gari', 'hasa', 'ikiwa', 'huwezi', 'kuunganisha', 'viunganishi', 'viwili', 'uleule']"
msaada wangu wa tekinolojia ya verizon ulipitia taratibu chache ambazo hakuna yoyote iliyofanya kazi na mwishowe ikanibidi kufanya kazi upya ngumu ya kufuta data zangu zote,"['msaada', 'wangu', 'tekinolojia', 'verizon', 'ulipitia', 'taratibu', 'chache', 'ambazo', 'hakuna', 'yoyote', 'iliyofanya', 'kazi', 'mwishowe', 'ikanibidi', 'kufanya', 'kazi', 'upya', 'ngumu', 'kufuta', 'data', 'zangu', 'zote']"
sauti yenye nguvu iliacha kulia,"['yenye', 'nguvu', 'iliacha', 'kulia']"
huwa na sauti ya juu zaidi kuliko msemaji mwingine yeyote wa ukubwa huu ni mdogo sana hivi kwamba walio wengi wangefikiri sifa hiyo inakosekana hata iwe haina thamani gani,"['huwa', 'kuliko', 'msemaji', 'mwingine', 'yeyote', 'ukubwa', 'huu', 'hivi', 'walio', 'wengi', 'wangefikiri', 'sifa', 'inakosekana', 'iwe', 'haina', 'thamani', 'gani']"
iliyo bora kuliko walivyotarajia,"['iliyo', 'bora', 'kuliko', 'walivyotarajia']"
hahisi vizuri anaposafiri na vifungo hivyo hufunguliwa hivi kwamba ni vigumu kuvisukuma,"['hahisi', 'vizuri', 'anaposafiri', 'vifungo', 'hufunguliwa', 'hivi', 'vigumu', 'kuvisukuma']"
betri inashika vizuri,"['betri', 'inashika', 'vizuri']"
pia ni vigumu kutumia dawa ya kulevya kupendekeza kuepuka bidhaa hiyo,"['vigumu', 'kutumia', 'dawa', 'kulevya', 'kupendekeza', 'kuepuka', 'bidhaa']"
niliitumia tu siku mbili na haikuwa rahisi sikuzote kusikia,"['niliitumia', 'siku', 'mbili', 'haikuwa', 'rahisi', 'sikuzote', 'kusikia']"
nikapata msimamizi wa gari na hata baada ya juma moja shtaka hilo liliingia ndani na kuanza kuvuta sigara,"['nikapata', 'msimamizi', 'gari', 'juma', 'shtaka', 'hilo', 'liliingia', 'kuanza', 'kuvuta', 'sigara']"
mteja wa mbio za masafa marefu akitoa huduma mbaya sana za wateja,"['mteja', 'mbio', 'masafa', 'marefu', 'akitoa', 'huduma', 'mbaya', 'wateja']"
iliyounganishwa na simu yangu bila jitihada,"['iliyounganishwa', 'simu', 'jitihada']"
bali wao wanakakamia tu katika jeuri na chuki,"['bali', 'wanakakamia', 'jeuri', 'chuki']"
rahisi kutumia,"['rahisi', 'kutumia']"
ni bora kuliko mpya,"['bora', 'kuliko', 'mpya']"
kile kilichonifanya niwe na mawazo ya kupata takataka hii isiyo na maana yoyote,"['kile', 'kilichonifanya', 'niwe', 'mawazo', 'kupata', 'takataka', 'hii', 'isiyo', 'maana', 'yoyote']"
takataka,['takataka']
bidhaa nzuri,"['bidhaa', 'nzuri']"
hii ni simu kubwa,"['hii', 'simu']"
kwa bei ya amazon ni bidhaa nzuri sana ambayo ningeipendekeza sana,"['bei', 'amazon', 'bidhaa', 'nzuri', 'ambayo', 'ningeipendekeza']"
utafiti wao na mgawanyiko wao wa maendeleo kwa wazi wajua kile walichokuwa wakifanya,"['utafiti', 'mgawanyiko', 'maendeleo', 'wazi', 'wajua', 'kile', 'walichokuwa', 'wakifanya']"
muuaji halisi ni kiasi cha sauti na bila shaka kinavunjika,"['muuaji', 'halisi', 'kiasi', 'shaka', 'kinavunjika']"
simu hizo zinafanya kazi vizuri sasa,"['simu', 'hizo', 'zinafanya', 'kazi', 'vizuri']"
ninapendezwa sana na bidhaa hii,"['ninapendezwa', 'bidhaa', 'hii']"
ujenzi mbaya,"['ujenzi', 'mbaya']"
kufanya hivi kunachosha,"['kufanya', 'hivi', 'kunachosha']"
kwa ujumla ningependekeza simu hii kwa ajili ya mtu huyo mpya,"['ujumla', 'ningependekeza', 'simu', 'hii', 'ajili', 'mtu', 'huyo', 'mpya']"
shtaka la mbio za kasi la utumishi huu,"['shtaka', 'mbio', 'kasi', 'utumishi', 'huu']"
si ghali na yeye huhisi na kuonekana kuwa wa bei ya chini,"['si', 'ghali', 'huhisi', 'kuonekana', 'bei']"
unapatana na sikio langu na unastarehesha,"['unapatana', 'sikio', 'langu', 'unastarehesha']"
halifanyi kazi europe au astia,"['halifanyi', 'kazi', 'europe', 'au', 'astia']"
funga mshipi huo kwenye mshipi wako kutakufanya uhisi kwamba umeinuka kwa senti 50,"['funga', 'mshipi', 'mshipi', 'wako', 'kutakufanya', 'uhisi', 'umeinuka', 'senti', '50']"
ni kana kwamba ni ubuni na sura ya jabra akipigapiga vichwa vya masikio na 5020 ni nzuri sana kuweza kuvaa muda wa saa 24 kwa siku bila maumivu katika sikio,"['kana', 'ubuni', 'sura', 'jabra', 'akipigapiga', 'vichwa', 'vya', 'masikio', '5020', 'nzuri', 'kuweza', 'kuvaa', 'saa', '24', 'siku', 'maumivu', 'sikio']"
nilishangaa kuona jinsi betri mbili za awali za simu za mkononi zilivyowasili haraka na sehemu ndogo ya bei yake,"['nilishangaa', 'kuona', 'jinsi', 'betri', 'mbili', 'awali', 'simu', 'mkononi', 'zilivyowasili', 'haraka', 'sehemu', 'ndogo', 'bei']"
ile simu mbaya zaidi kutoka samsungcrap hii srapy samsung e715 ndiyo mbaya zaidi ambayo nimepata kuona,"['ile', 'simu', 'mbaya', 'samsungcrap', 'hii', 'srapy', 'samsung', 'e715', 'ndiyo', 'mbaya', 'ambayo', 'nimepata', 'kuona']"
wakili huyo alifanya kazi kwa juma moja hivi kisha akaacha kabisa kunishtaki kwa simu,"['wakili', 'huyo', 'alifanya', 'kazi', 'juma', 'hivi', 'akaacha', 'kabisa', 'kunishtaki', 'simu']"
bidhaa duni,"['bidhaa', 'duni']"
hata hivyo mimi nilihitaji maagizo bora zaidi,"['nilihitaji', 'maagizo', 'bora']"
unahitaji mikono miwili ili kutumia programu ya kompyuta iliyounganishwa na kompyuta ni ya miaka kumi iliyopita na huwezi kushindana na miundo mipya ya programu za kompyuta,"['unahitaji', 'mikono', 'miwili', 'kutumia', 'programu', 'kompyuta', 'iliyounganishwa', 'kompyuta', 'miaka', 'kumi', 'iliyopita', 'huwezi', 'kushindana', 'miundo', 'mipya', 'programu', 'kompyuta']"
nilifanya kazi vizuri sana kwa kichwa cha ndege aina ya treo 700w na kichwa cha kamba ya angani kikiwa kimewekwa kwenye ngozi yangu kwa kutumia kipima  rangi cha buluu cha mohooth transceiver,"['nilifanya', 'kazi', 'vizuri', 'kichwa', 'ndege', 'aina', 'treo', '700w', 'kichwa', 'kamba', 'angani', 'kikiwa', 'kimewekwa', 'ngozi', 'kutumia', 'kipima', 'rangi', 'buluu', 'mohooth', 'transceiver']"
epuka bidhaa hii na uende na kalamu halisi za mitende ambazo huja kwenye mstari wa tatu,"['epuka', 'bidhaa', 'hii', 'uende', 'kalamu', 'halisi', 'mitende', 'ambazo', 'huja', 'mstari', 'tatu']"
usinunue kunyonya,"['usinunue', 'kunyonya']"
hii ni bidhaa kubwa ambayo bila shaka hupiga kwa kutumia vidole vyako,"['hii', 'bidhaa', 'ambayo', 'shaka', 'hupiga', 'kutumia', 'vidole', 'vyako']"
wala usiitilie shaka,"['wala', 'usiitilie', 'shaka']"
visa vingine vyote vilivyojaribiwa kwa kawaida huvunjika baada ya miezi michache lakini yaonekana kwamba hiki kinaingia kwa muda mrefu,"['visa', 'vingine', 'vyote', 'vilivyojaribiwa', 'kawaida', 'huvunjika', 'miezi', 'michache', 'yaonekana', 'hiki', 'kinaingia', 'mrefu']"
wonyesho wa wazi,"['wonyesho', 'wazi']"
usifanye kosa lilelile ambalo nilifanya na tafadhali usinunue simu hii,"['usifanye', 'kosa', 'lilelile', 'ambalo', 'nilifanya', 'usinunue', 'simu', 'hii']"
simu hii yaweza kuwa ndiyo simu mbaya zaidi iliyowahi kuwa nayo katika aina yoyote ile,"['simu', 'hii', 'yaweza', 'ndiyo', 'simu', 'mbaya', 'iliyowahi', 'nayo', 'aina', 'yoyote', 'ile']"
ilikuwa zaidi au chini ya kiasi cha ziada ambacho ninavaa hapo awali lakini baadaye kilitupwa kwa sababu kilikwaruza sikio langu,"['au', 'kiasi', 'ziada', 'ambacho', 'ninavaa', 'awali', 'baadaye', 'kilitupwa', 'sababu', 'kilikwaruza', 'sikio', 'langu']"
napendekeza igo kwa yeyote aliye na wachezaji wa simu za mkononi wa aina tofauti  tofauti katika familia,"['napendekeza', 'igo', 'yeyote', 'aliye', 'wachezaji', 'simu', 'mkononi', 'aina', 'tofauti', 'tofauti', 'familia']"
usisumbue kwenda dukani,"['usisumbue', 'dukani']"
niliweka maelezo zaidi chini ya simu ya kijivu au nyeusi lakini mimi nina ile nyekundu na rangi yake kubwa,"['niliweka', 'maelezo', 'simu', 'kijivu', 'au', 'nyeusi', 'nina', 'ile', 'nyekundu', 'rangi']"
sikuwa na tatizo lolote na kitu hiki na ningekiagiza tena ikihitajika,"['sikuwa', 'tatizo', 'lolote', 'kitu', 'hiki', 'ningekiagiza', 'ikihitajika']"
unapata kile unacholipia kwa kukisia  kisia,"['unapata', 'kile', 'unacholipia', 'kukisia', 'kisia']"
si kwamba tu programu hizo zilifanya kazi kubwa ya kompyuta hii naweza pia kutengeneza sauti zangu mwenyewe za mviringo zinazofanyiza vipande vyangu vya sauti bila kuungana na mtandao wa intaneti,"['si', 'programu', 'hizo', 'zilifanya', 'kazi', 'kompyuta', 'hii', 'naweza', 'kutengeneza', 'zangu', 'mwenyewe', 'mviringo', 'zinazofanyiza', 'vipande', 'vyangu', 'vya', 'kuungana', 'mtandao', 'intaneti']"
ishangaezwe ni mtoza  gari bora na hakuna maoni mengi juu yake,"['ishangaezwe', 'mtoza', 'gari', 'bora', 'hakuna', 'maoni', 'mengi']"
hizo ni nzuri ajabu,"['hizo', 'nzuri', 'ajabu']"
hata hivyo vichwa vyenye sauti nyepesi kwa sasa havifai kwa wakati halisi michezo kama ile ya watu wa kwanza kupiga risasi kwa kuwa sauti hunichelewesha  kawia,"['vichwa', 'vyenye', 'nyepesi', 'havifai', 'halisi', 'michezo', 'ile', 'kwanza', 'kupiga', 'risasi', 'hunichelewesha', 'kawia']"
ninatumia programu ya bure unayoweza kupata kwenye mtandao wa intaneti ili kupeleka habari kwenye bei ya kebo hiyo,"['ninatumia', 'programu', 'bure', 'unayoweza', 'kupata', 'mtandao', 'intaneti', 'kupeleka', 'habari', 'bei', 'kebo']"
kifaa chenye kuvunja moyo kutoka kwa mtengenezaji mzuri,"['kifaa', 'chenye', 'kuvunja', 'moyo', 'mtengenezaji', 'mzuri']"
walitoa sauti kali na sauti kali kwa wale waliokuwa kwenye upande ule mwingine wa mlio huo,"['walitoa', 'kali', 'kali', 'wale', 'waliokuwa', 'upande', 'ule', 'mwingine', 'mlio']"
upepo mkali,"['upepo', 'mkali']"
